name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,就诊时间,就诊人数
"Ninghai, Ningbo, China",2017-01-11,44.6,41.0,43.3,42.2,38.1,39.7,40.3,89.6,0.132,100,12.5,rain,0.0,0.0,13.9,8.9,332.0,1027.1,80.1,3.0,16.6,1.4,1,,2017-01-11T06:50:36,2017-01-11T17:12:59,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-01-11,1.0
"Ninghai, Ningbo, China",2017-01-12,42.8,41.0,42.1,42.8,36.5,38.9,40.1,92.9,0.205,100,20.83,rain,0.0,0.0,13.2,6.7,327.9,1023.3,69.4,4.1,10.0,0.8,0,,2017-01-12T06:50:34,2017-01-12T17:13:49,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-01-12,0.0
"Ninghai, Ningbo, China",2017-01-13,53.6,37.4,44.3,53.6,32.2,42.3,34.0,69.5,0.0,0,0.0,,0.0,0.0,23.0,13.4,325.3,1021.8,0.1,4.2,161.8,13.9,6,,2017-01-13T06:50:30,2017-01-13T17:14:39,0.52,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-13,1.0
"Ninghai, Ningbo, China",2017-01-14,48.2,33.8,41.7,44.2,30.0,37.9,30.7,66.9,0.0,0,0.0,,0.0,0.0,23.9,11.2,354.5,1027.0,33.5,4.9,156.1,13.4,6,,2017-01-14T06:50:24,2017-01-14T17:15:29,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-14,1.0
"Ninghai, Ningbo, China",2017-01-15,48.2,35.6,41.9,44.2,31.8,37.7,31.0,65.9,0.0,0,0.0,,0.0,0.0,22.1,8.9,352.4,1029.4,76.2,6.3,89.0,7.7,4,,2017-01-15T06:50:17,2017-01-15T17:16:20,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-15,1.0
"Ninghai, Ningbo, China",2017-01-16,48.2,35.6,42.2,46.4,33.9,39.8,33.0,70.9,0.0,0,0.0,,0.0,0.0,16.3,8.9,7.7,1028.8,48.0,6.2,121.7,10.5,5,,2017-01-16T06:50:08,2017-01-16T17:17:11,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-16,0.0
"Ninghai, Ningbo, China",2017-01-17,46.4,33.9,41.9,46.4,29.8,41.7,39.5,91.4,0.079,100,8.33,rain,0.0,0.0,15.7,4.5,116.3,1028.6,55.0,3.7,66.5,5.7,4,,2017-01-17T06:49:57,2017-01-17T17:18:03,0.65,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-01-17,0.0
"Ninghai, Ningbo, China",2017-01-18,50.0,44.6,46.8,48.5,44.3,45.9,46.8,100.0,0.238,100,16.67,rain,0.0,0.0,14.8,6.7,17.3,1027.0,69.4,1.3,14.3,1.2,1,,2017-01-18T06:49:45,2017-01-18T17:18:54,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-01-18,0.0
"Ninghai, Ningbo, China",2017-01-19,46.4,44.6,46.2,44.4,40.5,43.0,45.2,96.5,0.091,100,12.5,rain,0.0,0.0,20.6,13.3,330.8,1026.0,72.9,2.0,21.6,1.8,1,,2017-01-19T06:49:31,2017-01-19T17:19:46,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-01-19,0.0
"Ninghai, Ningbo, China",2017-01-20,44.6,30.2,39.6,38.9,23.5,32.3,22.4,51.9,0.005,100,4.17,rain,0.0,0.0,34.7,17.9,323.7,1031.8,18.1,5.1,179.2,15.5,7,,2017-01-20T06:49:15,2017-01-20T17:20:38,0.75,Rain,Clear conditions throughout the day with early morning rain.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-01-20,0.0
"Ninghai, Ningbo, China",2017-01-21,50.0,26.6,36.7,46.4,23.5,35.3,24.3,63.8,0.0,0,0.0,,0.0,0.0,10.5,8.9,322.4,1031.3,14.2,6.3,169.7,14.7,7,,2017-01-21T06:48:58,2017-01-21T17:21:30,0.78,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-21,0.0
"Ninghai, Ningbo, China",2017-01-22,48.2,28.4,37.9,44.2,27.6,35.0,25.0,64.5,0.0,0,0.0,,0.0,0.0,25.3,13.4,337.5,1033.2,0.0,5.3,179.4,15.3,7,,2017-01-22T06:48:39,2017-01-22T17:22:23,0.81,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-22,0.0
"Ninghai, Ningbo, China",2017-01-23,44.6,28.4,36.4,40.8,28.4,34.2,24.5,65.7,0.0,0,0.0,,0.0,0.0,20.6,6.7,1.6,1035.0,17.8,5.2,177.4,15.2,7,,2017-01-23T06:48:18,2017-01-23T17:23:15,0.84,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-23,0.0
"Ninghai, Ningbo, China",2017-01-24,51.8,28.4,39.1,51.8,25.5,38.0,30.3,73.0,0.0,0,0.0,,0.0,0.0,16.8,8.9,92.6,1034.9,31.3,5.9,156.0,13.6,6,,2017-01-24T06:47:56,2017-01-24T17:24:07,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-24,0.0
"Ninghai, Ningbo, China",2017-01-25,51.8,33.8,43.1,51.8,33.8,42.9,35.9,77.7,0.0,0,0.0,,0.0,0.0,15.0,4.5,97.2,1033.1,22.3,4.7,88.2,7.7,3,,2017-01-25T06:47:33,2017-01-25T17:25:00,0.91,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-25,0.0
"Ninghai, Ningbo, China",2017-01-26,59.0,33.8,45.0,59.0,32.2,43.9,37.3,77.8,0.0,0,0.0,,0.0,0.0,17.4,11.1,158.1,1029.0,1.3,4.8,179.7,15.5,7,,2017-01-26T06:47:07,2017-01-26T17:25:52,0.94,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-26,0.0
"Ninghai, Ningbo, China",2017-01-27,57.1,35.6,46.2,57.1,35.6,45.4,40.0,80.6,0.0,0,0.0,,0.0,0.0,21.9,11.2,357.0,1027.8,43.8,4.1,173.2,14.9,7,,2017-01-27T06:46:41,2017-01-27T17:26:44,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-27,0.0
"Ninghai, Ningbo, China",2017-01-28,64.3,44.6,53.0,64.3,42.2,52.5,46.9,81.0,0.0,0,0.0,,0.0,0.0,23.7,20.1,163.1,1022.0,51.1,4.4,126.9,10.9,5,,2017-01-28T06:46:12,2017-01-28T17:27:36,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-28,0.0
"Ninghai, Ningbo, China",2017-01-29,82.3,51.8,62.8,81.7,51.8,62.8,52.0,70.5,0.052,100,20.83,rain,0.0,0.0,38.0,17.9,250.5,1017.1,59.1,5.2,67.8,5.7,4,,2017-01-29T06:45:43,2017-01-29T17:28:28,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-01-29,0.0
"Ninghai, Ningbo, China",2017-01-30,50.0,37.4,43.3,44.0,30.9,36.9,32.8,67.6,0.001,100,4.17,rain,0.0,0.0,33.8,17.9,344.4,1030.2,80.8,5.1,99.1,8.5,5,,2017-01-30T06:45:11,2017-01-30T17:29:20,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-01-30,0.0
"Ninghai, Ningbo, China",2017-01-31,46.4,37.4,41.3,44.6,30.9,37.6,29.9,63.8,0.0,0,0.0,,0.0,0.0,19.9,8.9,347.1,1029.3,77.3,6.3,112.6,9.7,5,,2017-01-31T06:44:38,2017-01-31T17:30:12,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-01-31,0.0
"Ninghai, Ningbo, China",2017-02-01,44.6,41.0,42.9,44.6,34.4,38.4,34.0,71.1,0.001,100,4.17,rain,0.0,0.0,25.3,11.2,346.7,1031.4,88.5,6.2,65.3,5.8,3,,2017-02-01T06:44:04,2017-02-01T17:31:04,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-02-01,0.0
"Ninghai, Ningbo, China",2017-02-02,46.4,39.2,42.6,44.6,34.3,39.7,33.1,69.2,0.0,0,0.0,,0.0,0.0,17.0,8.9,347.7,1031.9,68.4,5.9,101.9,8.8,4,,2017-02-02T06:43:29,2017-02-02T17:31:55,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-02,0.0
"Ninghai, Ningbo, China",2017-02-03,55.4,41.0,48.1,55.4,38.1,47.6,40.7,76.0,0.0,0,0.0,,0.0,0.0,16.8,6.7,144.4,1024.7,81.1,6.3,93.6,8.0,4,,2017-02-03T06:42:51,2017-02-03T17:32:46,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-03,0.0
"Ninghai, Ningbo, China",2017-02-04,51.8,48.2,49.6,51.8,45.1,48.6,47.1,91.3,0.252,100,12.5,rain,0.0,0.0,17.2,6.7,5.5,1018.7,57.6,3.5,103.3,8.7,4,,2017-02-04T06:42:13,2017-02-04T17:33:37,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-02-04,0.0
"Ninghai, Ningbo, China",2017-02-05,50.0,37.4,46.4,48.2,36.0,43.6,42.7,87.4,0.114,100,8.33,rain,0.0,0.0,26.4,11.2,337.9,1020.0,56.3,2.3,92.7,8.0,4,,2017-02-05T06:41:33,2017-02-05T17:34:27,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-02-05,2.0
"Ninghai, Ningbo, China",2017-02-06,51.8,33.8,42.8,51.8,33.8,40.6,34.9,76.1,0.0,0,0.0,,0.0,0.0,24.6,11.2,13.5,1025.7,24.6,3.2,176.7,15.2,6,,2017-02-06T06:40:52,2017-02-06T17:35:17,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-06,4.0
"Ninghai, Ningbo, China",2017-02-07,55.4,42.7,46.9,55.4,40.1,45.2,35.4,64.8,0.0,0,0.0,,0.0,0.0,15.2,11.2,23.9,1024.8,84.0,6.3,108.5,9.4,4,,2017-02-07T06:40:09,2017-02-07T17:36:07,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-07,0.0
"Ninghai, Ningbo, China",2017-02-08,46.4,39.2,43.4,46.4,30.6,39.5,41.4,92.6,0.228,100,20.83,rain,0.0,0.0,26.8,15.5,337.1,1022.2,72.4,4.7,18.6,1.7,1,,2017-02-08T06:39:26,2017-02-08T17:36:57,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-02-08,1.0
"Ninghai, Ningbo, China",2017-02-09,42.8,33.8,37.8,35.2,24.5,29.9,26.1,64.0,0.02,100,4.17,rain,0.0,0.0,35.1,17.9,320.9,1026.1,56.2,3.9,124.1,10.9,4,,2017-02-09T06:38:40,2017-02-09T17:37:46,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-02-09,0.0
"Ninghai, Ningbo, China",2017-02-10,44.6,33.8,39.1,37.6,27.6,32.7,17.0,42.3,0.0,0,0.0,,0.0,0.0,38.0,20.1,322.8,1028.1,14.8,5.1,210.6,18.2,8,,2017-02-10T06:37:54,2017-02-10T17:38:35,0.47,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-10,0.0
"Ninghai, Ningbo, China",2017-02-11,48.2,32.0,39.2,44.2,27.6,35.4,16.6,42.8,0.0,0,0.0,,0.0,0.0,23.3,13.4,331.2,1031.5,17.4,6.3,212.0,18.3,8,,2017-02-11T06:37:07,2017-02-11T17:39:24,0.5,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-11,0.0
"Ninghai, Ningbo, China",2017-02-12,55.4,26.6,40.2,55.4,21.3,39.5,20.2,51.8,0.0,0,0.0,,0.0,0.0,10.3,6.7,126.7,1031.3,0.0,6.3,213.4,18.5,8,,2017-02-12T06:36:18,2017-02-12T17:40:12,0.54,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-12,0.0
"Ninghai, Ningbo, China",2017-02-13,60.8,30.2,44.2,60.8,30.2,43.9,27.4,57.1,0.0,0,0.0,,0.0,0.0,12.8,6.7,126.9,1031.8,0.0,5.3,212.2,18.3,8,,2017-02-13T06:35:28,2017-02-13T17:41:00,0.57,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-13,0.0
"Ninghai, Ningbo, China",2017-02-14,60.8,33.8,46.2,60.8,33.8,45.8,28.9,55.9,0.0,0,0.0,,0.0,0.0,16.6,8.9,118.8,1033.9,10.1,5.4,213.3,18.3,8,,2017-02-14T06:34:37,2017-02-14T17:41:47,0.6,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-14,0.0
"Ninghai, Ningbo, China",2017-02-15,64.4,32.0,49.1,64.4,27.6,47.9,34.3,59.4,0.0,0,0.0,,0.0,0.0,22.6,13.4,157.9,1028.5,1.2,6.0,209.9,18.1,8,,2017-02-15T06:33:45,2017-02-15T17:42:34,0.63,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-15,0.0
"Ninghai, Ningbo, China",2017-02-16,73.4,48.2,59.3,73.4,45.2,58.5,48.5,68.8,0.0,0,0.0,,0.0,0.0,23.9,13.4,173.7,1019.3,26.3,6.2,197.6,17.1,7,,2017-02-16T06:32:52,2017-02-16T17:43:21,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-16,2.0
"Ninghai, Ningbo, China",2017-02-17,59.0,44.6,49.6,59.0,39.8,47.4,45.1,85.1,0.0,0,0.0,,0.0,0.0,40.3,15.7,18.2,1024.1,44.8,3.7,154.3,13.2,7,,2017-02-17T06:31:57,2017-02-17T17:44:07,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-17,0.0
"Ninghai, Ningbo, China",2017-02-18,51.8,41.0,45.1,51.8,36.5,43.0,39.0,80.2,0.069,100,4.17,rain,0.0,0.0,14.5,6.7,15.4,1028.2,51.3,6.0,92.5,7.9,5,,2017-02-18T06:31:02,2017-02-18T17:44:53,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-02-18,0.0
"Ninghai, Ningbo, China",2017-02-19,69.8,39.2,55.2,69.8,34.3,53.4,44.4,70.3,0.018,100,4.17,rain,0.0,0.0,35.6,20.1,170.1,1017.1,26.3,5.0,193.1,16.8,7,,2017-02-19T06:30:06,2017-02-19T17:45:38,0.75,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-02-19,0.0
"Ninghai, Ningbo, China",2017-02-20,68.0,42.8,52.0,68.0,35.9,49.4,43.7,73.8,0.0,0,0.0,,0.0,0.0,47.0,20.0,21.8,1019.0,51.2,5.0,115.8,10.0,5,,2017-02-20T06:29:09,2017-02-20T17:46:24,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-20,0.0
"Ninghai, Ningbo, China",2017-02-21,51.8,41.0,47.6,51.8,34.4,45.7,37.1,66.9,0.0,0,0.0,,0.0,0.0,25.1,15.7,113.4,1026.0,87.3,6.2,140.6,12.3,5,,2017-02-21T06:28:10,2017-02-21T17:47:08,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-21,1.0
"Ninghai, Ningbo, China",2017-02-22,53.6,41.0,47.2,53.6,33.6,43.3,42.1,82.6,0.144,100,8.33,rain,0.0,0.0,30.4,13.4,334.3,1018.7,91.0,5.0,98.4,8.5,5,,2017-02-22T06:27:11,2017-02-22T17:47:53,0.86,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-02-22,0.0
"Ninghai, Ningbo, China",2017-02-23,42.8,37.4,40.5,40.2,29.9,34.1,32.1,72.1,0.043,100,8.33,rain,0.0,0.0,27.7,15.7,323.3,1026.4,75.8,3.0,45.4,3.9,2,,2017-02-23T06:26:11,2017-02-23T17:48:36,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-02-23,0.0
"Ninghai, Ningbo, China",2017-02-24,46.4,35.6,41.5,44.6,33.9,38.6,27.3,59.1,0.0,0,0.0,,0.0,0.0,17.4,8.9,337.2,1028.6,36.0,5.4,172.1,15.0,7,,2017-02-24T06:25:11,2017-02-24T17:49:20,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-24,0.0
"Ninghai, Ningbo, China",2017-02-25,53.6,33.8,43.8,53.6,33.8,43.5,27.5,56.7,0.0,0,0.0,,0.0,0.0,14.5,6.7,38.7,1025.7,0.4,4.4,220.0,18.9,8,,2017-02-25T06:24:09,2017-02-25T17:50:03,0.95,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-25,0.0
"Ninghai, Ningbo, China",2017-02-26,57.2,41.0,48.0,57.2,41.0,47.9,31.7,55.3,0.0,0,0.0,,0.0,0.0,15.2,6.7,46.5,1025.5,0.2,3.3,206.2,17.8,8,,2017-02-26T06:23:07,2017-02-26T17:50:46,0.0,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-26,0.0
"Ninghai, Ningbo, China",2017-02-27,57.2,35.6,45.8,57.2,33.9,45.1,30.7,60.0,0.0,0,0.0,,0.0,0.0,19.7,13.4,38.9,1027.7,11.7,4.0,223.7,19.2,8,,2017-02-27T06:22:04,2017-02-27T17:51:28,0.02,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-27,0.0
"Ninghai, Ningbo, China",2017-02-28,60.8,35.7,48.5,60.8,31.9,47.7,35.1,61.7,0.0,0,0.0,,0.0,0.0,19.5,11.2,129.9,1023.8,48.1,6.3,228.9,19.7,8,,2017-02-28T06:21:00,2017-02-28T17:52:10,0.06,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-02-28,0.0
"Ninghai, Ningbo, China",2017-03-01,68.0,39.2,54.4,68.0,39.2,54.3,36.7,56.2,0.0,0,0.0,,0.0,0.0,33.6,22.4,313.6,1019.1,22.8,5.5,213.9,18.4,8,,2017-03-01T06:19:55,2017-03-01T17:52:52,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-03-01,2.0
"Ninghai, Ningbo, China",2017-03-02,53.6,37.4,46.4,53.6,32.2,42.3,23.2,42.0,0.0,0,0.0,,0.0,0.0,31.3,20.1,326.0,1024.8,17.9,5.5,242.7,21.1,9,,2017-03-02T06:18:50,2017-03-02T17:53:33,0.13,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-03-02,0.0
"Ninghai, Ningbo, China",2017-03-03,60.8,32.0,46.9,60.8,27.6,46.1,29.8,53.7,0.0,0,0.0,,0.0,0.0,22.6,13.4,161.1,1020.0,39.7,6.2,240.5,20.7,8,,2017-03-03T06:17:44,2017-03-03T17:54:14,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-03-03,1.0
"Ninghai, Ningbo, China",2017-03-04,68.0,41.0,54.8,68.0,38.1,54.4,39.8,61.9,0.016,100,4.17,rain,0.0,0.0,18.1,8.9,93.3,1015.8,12.4,5.2,232.0,20.2,8,,2017-03-04T06:16:38,2017-03-04T17:54:55,0.2,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-03-04,2.0
"Ninghai, Ningbo, China",2017-03-05,55.4,50.0,52.0,55.4,47.3,51.6,51.9,99.7,0.293,100,20.83,rain,0.0,0.0,13.9,8.9,351.9,1015.2,66.2,2.0,23.2,2.1,1,,2017-03-05T06:15:31,2017-03-05T17:55:35,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-03-05,3.0
"Ninghai, Ningbo, China",2017-03-06,53.6,41.0,48.3,53.6,38.0,46.2,38.2,70.5,0.269,100,8.33,rain,0.0,0.0,26.6,11.2,9.7,1020.2,44.9,4.7,194.2,16.8,8,,2017-03-06T06:14:23,2017-03-06T17:56:15,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"58239099999,58477099999,58556099999,ZSNB",2017-03-06,0.0
"Ninghai, Ningbo, China",2017-03-07,59.0,33.8,45.7,59.0,31.8,45.1,29.3,59.0,0.0,0,0.0,,0.0,0.0,13.2,6.7,71.4,1020.9,21.0,5.9,245.3,21.1,9,,2017-03-07T06:13:15,2017-03-07T17:56:55,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58239099999,58477099999,58556099999,ZSNB",2017-03-07,0.0
"Ninghai, Ningbo, China",2017-03-08,60.8,37.4,48.5,60.8,36.0,48.1,35.2,63.6,0.0,0,0.0,,0.0,0.0,18.6,11.2,330.6,1021.3,4.3,4.4,241.0,20.8,8,,2017-03-08T06:12:06,2017-03-08T17:57:34,0.34,Clear,Clear conditions throughout the day.,clear-day,"58239099999,58477099999,58556099999,ZSNB",2017-03-08,0.0
